// Autor: SmileY
// Atualizado: 23:31 27/11/2020
// Descricao: 
//	Esse arquivo ajusta as definicoes do shop usando moeda Zen.
//	Cada shop pode conter 120 items com opcoes variadas.
//
//	[Secao] O shop possui as seguintes colunas:
//		- Grupo: 	Categoria do item em item.txt;
//		- Id: 		ID do item em sua categoria no item.txt;
//		- Lvl: 		Level do item: 0~15;
//		- Dur: 		Durabilidade: 0~255;
//		- Skill: 	Skill 0~1;
//		- Luck: 	Luck 0~1;
//		- Opt: 		Adicional do item 0~7;
//		- Exc: 		Opcoes excelentes, 0~63;
//		- Anc: 		ID do anciente que consta em ItemSetOption.txt;
//		- JoH:		ID do harmony;
//		- 380		ID do item 380;
//		- Slot(1~5)	Socket slot (255 Nenhum, 254 Slot livre) (Ver SocketItemOption.txt);
//		- Bonus		Socket bonus;
//
//	Grupo	Id	Lvl	Dur	Skill	Luck	Opt	Exc	Anc	JoH	380	Slot1	Slot2	Slot3	Slot4	Slot5	Bonus
//
	7	39	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	7	40	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	5	15	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	5	16	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	15	1	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	15	3	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	8	39	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	8	40	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	15	6	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	15	10	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	9	39	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	9	40	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	5	21	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	5	22	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	15	19	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	15	20	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	10	39	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	10	40	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	15	22	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	15	23	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	15	24	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	11	39	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	11	40	2	0	0	1	1	0	0	0	0	255	255	255	255	255	255	//
	15	26	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	15	27	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
	15	21	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	//
end
