//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	4	2048	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Short Bow (1 UN)
1010	1010	4	2049	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Bow (1 UN)
1020	1020	4	2050	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Elven Bow (1 UN)
1030	1030	4	2051	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Battle Bow (1 UN)
1040	1040	4	2052	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Tiger Bow (1 UN)
1050	1050	4	2053	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Silver Bow (1 UN)
1060	1060	8	2054	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Chaos Nature Bow (1 UN)
1070	1070	4	2055	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Bolt (1 UN)
1080	1080	4	2056	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Crossbow (1 UN)
1090	1090	4	3584	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Bronze Helm (1 UN)
1100	1100	4	2057	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Golden Crossbow (1 UN)
1110	1110	4	2058	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Arquebus (1 UN)
1120	1120	4	2059	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Light Crossbow (1 UN)
1130	1130	4	2060	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Serpent Crossbow (1 UN)
1140	1140	4	2061	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Bluewing Crossbow (1 UN)
1150	1150	4	3585	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Dragon Helm (1 UN)
1160	1160	4	3586	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Pad Helm (1 UN)
1170	1170	4	3587	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Legendary Helm (1 UN)
1180	1180	4	3588	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Bone Helm (1 UN)
1190	1190	4	3589	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Leather Helm (1 UN)
1200	1200	4	3590	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Scale Helm (1 UN)
1210	1210	4	3591	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Sphinx Mask (1 UN)
1220	1220	4	3592	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Brass Helm (1 UN)
1230	1230	4	3593	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Plate Helm (1 UN)
1240	1240	4	3594	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Vine Helm (1 UN)
1250	1250	4	3595	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Silk Helm (1 UN)
1260	1260	4	3596	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Wind Helm (1 UN)
1270	1270	4	3597	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Spirit Helm (1 UN)
1280	1280	4	3598	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Guardian Helm (1 UN)
1290	1290	8	3600	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Black Dragon Helm (1 UN)
1300	1300	8	3601	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Dark Phoenix Helm (1 UN)
1310	1310	8	3602	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Grand Soul Helm (1 UN)
1320	1320	8	3603	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Holy Spirit Helm (1 UN)
1330	1330	8	3605	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Great Dragon Helm (1 UN)
1340	1340	8	3606	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Dark Soul Helm (1 UN)
